Time_us	Excitation
0.000000000000000000e+00	0.000000000000000000e+00
1.666666666666666644e-02	8.997076092646346171e-06
3.333333333333333287e-02	7.186561075651082676e-05
4.999999999999999584e-02	2.419229477695494389e-04
6.666666666666666574e-02	5.713822792533235348e-04
8.333333333333334259e-02	1.110810737662855114e-03
9.999999999999999167e-02	1.908599613709570332e-03
1.166666666666666685e-01	3.010450616961500570e-03
1.333333333333333315e-01	4.458881989547218948e-03
1.499999999999999944e-01	6.292758151765972044e-03
1.666666666666666852e-01	8.546846402314315846e-03
1.833333333333333204e-01	1.125140401627330693e-02
1.999999999999999833e-01	1.443179888209934932e-02
2.166666666666666741e-01	1.810816659591807376e-02
2.333333333333333370e-01	2.229510668884648536e-02
2.500000000000000000e-01	2.700142040241601538e-02
2.666666666666666630e-01	3.222989215009570974e-02
2.833333333333333814e-01	3.797711651118838849e-02
2.999999999999999889e-01	4.423337229885732080e-02
3.166666666666666519e-01	5.098254492867359405e-02
3.333333333333333703e-01	5.820209798988173339e-02
3.499999999999999778e-01	6.586309459062318628e-02
3.666666666666666408e-01	7.393026871276045520e-02
3.833333333333333592e-01	8.236214647385699250e-02
3.999999999999999667e-01	9.111121685545243987e-02
4.166666666666666852e-01	1.001241511202114465e-01
4.333333333333333481e-01	1.093420698079675540e-01
4.500000000000000111e-01	1.187008558742861930e-01
4.666666666666666741e-01	1.281315122170277876e-01
4.833333333333332815e-01	1.375605615285607486e-01
5.000000000000000000e-01	1.469104861157533581e-01
5.166666666666666075e-01	1.561002050485722492e-01
5.333333333333333259e-01	1.650455857328794462e-01
5.500000000000000444e-01	1.736599867555589649e-01
5.666666666666667629e-01	1.818548286220772470e-01
5.833333333333333703e-01	1.895401887994515033e-01
5.999999999999999778e-01	1.966254172927797972e-01
6.166666666666666963e-01	2.030197688221839492e-01
6.333333333333333037e-01	2.086330475303421472e-01
6.500000000000000222e-01	2.133762600396691966e-01
6.666666666666667407e-01	2.171622725934168052e-01
6.833333333333333481e-01	2.199064679571462455e-01
6.999999999999999556e-01	2.215273977265882488e-01
7.166666666666666741e-01	2.219474256851611538e-01
7.333333333333332815e-01	2.210933578794392618e-01
7.500000000000000000e-01	2.188970551335995829e-01
7.666666666666667185e-01	2.152960238040775853e-01
7.833333333333334370e-01	2.102339806828994739e-01
7.999999999999999334e-01	2.036613880918739794e-01
8.166666666666666519e-01	1.955359553692245789e-01
8.333333333333333703e-01	1.858231031344586281e-01
8.499999999999999778e-01	1.744963869251769661e-01
8.666666666666666963e-01	1.615378770299500666e-01
8.833333333333334147e-01	1.469384915929263236e-01
9.000000000000000222e-01	1.306982803370173585e-01
9.166666666666666297e-01	1.128266565416760070e-01
9.333333333333333481e-01	9.334257521673225422e-02
9.499999999999999556e-01	7.227465573360333795e-02
9.666666666666665630e-01	4.966124750753283384e-02
9.833333333333333925e-01	2.555043766729976629e-02
1.000000000000000000e+00	2.840197994307997950e-16
1.016666666666666829e+00	-2.692271518413733716e-02
1.033333333333333215e+00	-5.514095026052706627e-02
1.050000000000000044e+00	-8.456876820303742270e-02
1.066666666666666652e+00	-1.151113384684877422e-01
1.083333333333333259e+00	-1.466652797604038327e-01
1.100000000000000089e+00	-1.791190582243954998e-01
1.116666666666666696e+00	-2.123534392794188264e-01
1.133333333333333526e+00	-2.462419909503668347e-01
1.149999999999999911e+00	-2.806516362399642528e-01
1.166666666666666741e+00	-3.154432517639265687e-01
1.183333333333333348e+00	-3.504723095746969386e-01
1.199999999999999956e+00	-3.855895588177106759e-01
1.216666666666666785e+00	-4.206417436018317635e-01
1.233333333333333393e+00	-4.554723532239702832e-01
1.250000000000000000e+00	-4.899224006685697907e-01
1.266666666666666607e+00	-5.238312251069160430e-01
1.283333333333333215e+00	-5.570373139504742888e-01
1.300000000000000044e+00	-5.893791398677007409e-01
1.316666666666666652e+00	-6.206960080560403048e-01
1.333333333333333481e+00	-6.508289089708778619e-01
1.350000000000000089e+00	-6.796213716516600334e-01
1.366666666666666696e+00	-7.069203127527691199e-01
1.383333333333333304e+00	-7.325768763832154473e-01
1.399999999999999911e+00	-7.564472598849697471e-01
1.416666666666666741e+00	-7.783935207347000285e-01
1.433333333333333348e+00	-7.982843598375485294e-01
1.450000000000000178e+00	-8.159958765939432368e-01
1.466666666666666563e+00	-8.314122912607196936e-01
1.483333333333333393e+00	-8.444266302952139203e-01
1.500000000000000000e+00	-8.549413705645735329e-01
1.516666666666666607e+00	-8.628690385211899017e-01
