Time_us	Received_Longitudinal
0.000000000000000000e+00	4.531867564986427621e-02
1.666666666666666644e-02	-2.852937226276713867e-02
3.333333333333333287e-02	7.953305815865199802e-02
4.999999999999999584e-02	2.195588493917700196e-02
6.666666666666666574e-02	-1.964444708600163875e-02
8.333333333333334259e-02	1.149832810117237120e-02
9.999999999999999167e-02	3.850314756519187392e-02
1.166666666666666685e-01	8.985474658696034067e-02
1.333333333333333315e-01	1.094702697200932301e-01
1.499999999999999944e-01	3.703108233249507997e-02
1.666666666666666852e-01	6.763853156383758947e-02
1.833333333333333204e-01	1.190602080358753867e-01
1.999999999999999833e-01	2.405983802762016316e-02
2.166666666666666741e-01	-5.349836821693264993e-02
2.333333333333333370e-01	-5.208623880020726155e-02
2.500000000000000000e-01	4.456659575592103462e-03
2.666666666666666630e-01	-1.321734729459994040e-01
2.833333333333333814e-01	-1.528541560246871045e-01
2.999999999999999889e-01	-1.675203022384061935e-01
3.166666666666666519e-01	-1.707356674450581924e-01
3.333333333333333703e-01	-2.311975081266048337e-01
3.499999999999999778e-01	-2.234607690732044183e-01
3.666666666666666408e-01	-1.909656922234755083e-01
3.833333333333333592e-01	-1.747458304708268684e-01
3.999999999999999667e-01	-1.234666118174176236e-01
4.166666666666666852e-01	-7.125313683662573561e-02
4.333333333333333481e-01	-1.500098207958608376e-02
4.500000000000000111e-01	8.411279700161827799e-02
4.666666666666666741e-01	1.971262456836309074e-02
4.833333333333332815e-01	1.796997194355765826e-01
5.000000000000000000e-01	1.778536322713596129e-01
5.166666666666666075e-01	2.955301176949759467e-01
5.333333333333333259e-01	2.143718553935038684e-01
5.500000000000000444e-01	2.813461570762708086e-01
5.666666666666667629e-01	1.264255892499515088e-01
5.833333333333333703e-01	1.950144211082951440e-01
5.999999999999999778e-01	2.148711678794909263e-01
6.166666666666666963e-01	2.058090082183874348e-01
6.333333333333333037e-01	8.005969013745173335e-02
6.500000000000000222e-01	9.507937307006072980e-02
6.666666666666667407e-01	1.095686280286111564e-02
6.833333333333333481e-01	-5.105516858896586713e-02
6.999999999999999556e-01	-1.004571835683857189e-01
7.166666666666666741e-01	-8.120830022862310371e-02
7.333333333333332815e-01	-1.072860483003662269e-01
7.500000000000000000e-01	-1.906178105892148145e-01
7.666666666666667185e-01	-1.429586663367116428e-01
7.833333333333334370e-01	-2.219008904143993655e-01
7.999999999999999334e-01	-1.817657376569914718e-01
8.166666666666666519e-01	-1.524083768171794195e-01
8.333333333333333703e-01	-1.089082672747321845e-01
8.499999999999999778e-01	-7.894405312191236923e-02
8.666666666666666963e-01	-1.505910207932598666e-01
8.833333333333334147e-01	-2.050982732784324344e-02
9.000000000000000222e-01	-8.329464869578176792e-03
9.166666666666666297e-01	5.682238669690824889e-02
9.333333333333333481e-01	3.823116660862012350e-02
9.499999999999999556e-01	7.587833831243345761e-02
9.666666666666665630e-01	1.295612043771453281e-01
9.833333333333333925e-01	1.266141651467184714e-01
1.000000000000000000e+00	1.333522587343309029e-01
1.016666666666666829e+00	1.156627636483804067e-01
1.033333333333333215e+00	1.149866117544212085e-01
1.050000000000000044e+00	1.407269119417117742e-01
1.066666666666666652e+00	7.067064545514487039e-02
1.083333333333333259e+00	8.863480564066650302e-02
1.100000000000000089e+00	1.201049197996135187e-01
1.116666666666666696e+00	-1.748648396358452525e-02
1.133333333333333526e+00	7.431402973759052705e-03
1.149999999999999911e+00	4.615367878536494328e-02
1.166666666666666741e+00	6.168201420801996959e-02
1.183333333333333348e+00	6.218425561161706333e-02
1.199999999999999956e+00	5.729283276690250171e-02
1.216666666666666785e+00	7.882247459016286650e-02
1.233333333333333393e+00	-2.837690917263472473e-02
1.250000000000000000e+00	-2.087224250567856765e-02
1.266666666666666607e+00	6.575160763200486869e-02
1.283333333333333215e+00	9.299549596295519915e-02
1.300000000000000044e+00	7.384690722899879545e-02
1.316666666666666652e+00	6.092541126595377859e-02
1.333333333333333481e+00	1.210125399101877192e-01
1.350000000000000089e+00	1.002934953161428583e-01
1.366666666666666696e+00	1.310147980351573094e-01
1.383333333333333304e+00	1.471167464960723703e-01
1.399999999999999911e+00	1.382098274346097722e-01
1.416666666666666741e+00	1.682360430344474744e-01
1.433333333333333348e+00	1.694055788503294468e-01
1.450000000000000178e+00	2.442862261258370304e-01
1.466666666666666563e+00	1.717631977222217332e-01
1.483333333333333393e+00	2.146771347967227073e-01
1.500000000000000000e+00	2.491865786040746156e-01
1.516666666666666607e+00	1.247054092863026376e-01
1.533333333333333437e+00	2.035275871391120928e-01
1.550000000000000044e+00	8.594371634156423856e-02
1.566666666666666874e+00	1.807689059840928425e-01
1.583333333333333259e+00	2.194650723839988438e-01
1.599999999999999867e+00	1.254289390918814084e-01
1.616666666666666696e+00	1.810150703819534412e-01
1.633333333333333304e+00	1.053085364723441303e-01
1.650000000000000133e+00	1.452604022588172561e-01
1.666666666666666741e+00	1.529402229545846759e-01
1.683333333333333348e+00	1.126052524710741964e-01
1.699999999999999956e+00	4.082629785115259730e-02
1.716666666666666563e+00	6.663186462923699482e-02
1.733333333333333393e+00	5.369238802330795340e-02
1.750000000000000000e+00	4.668432135840637487e-02
1.766666666666666829e+00	-6.451970248401847283e-03
1.783333333333333437e+00	-3.405356488834272721e-02
1.800000000000000044e+00	2.514261719989105068e-02
1.816666666666666652e+00	-2.940930371584040554e-02
1.833333333333333259e+00	2.419309440621017840e-02
1.850000000000000089e+00	1.585183131542381579e-02
1.866666666666666696e+00	-1.610221500177119458e-01
