Time_us	Excitation
0.000000000000000000e+00	0.000000000000000000e+00
1.666666666666666644e-02	2.465932141040925912e-05
3.333333333333333287e-02	1.966785419047304968e-04
4.999999999999999584e-02	6.604466192136552571e-04
6.666666666666666574e-02	1.554453463704292540e-03
8.333333333333334259e-02	3.008446947346277069e-03
9.999999999999999167e-02	5.140716202792488566e-03
1.166666666666666685e-01	8.055540748189260469e-03
1.333333333333333315e-01	1.184084281921005816e-02
1.499999999999999944e-01	1.656607764793491602e-02
1.666666666666666852e-01	2.228039333151220214e-02
1.833333333333333204e-01	2.901108842066465673e-02
1.999999999999999833e-01	3.676239147287198999e-02
2.166666666666666741e-01	4.551458260599567512e-02
2.333333333333333370e-01	5.522347260779034844e-02
2.500000000000000000e-01	6.582025046121388334e-02
2.666666666666666630e-01	7.721170529347083644e-02
2.833333333333333814e-01	8.928082380910851157e-02
2.999999999999999889e-01	1.018877592863265125e-01
3.166666666666666519e-01	1.148711632635426583e-01
3.333333333333333703e-01	1.280498661825595907e-01
3.499999999999999778e-01	1.412248885466992898e-01
3.666666666666666408e-01	1.541817596565988047e-01
3.833333333333333592e-01	1.666931167600289865e-01
3.999999999999999667e-01	1.785215535489479421e-01
4.166666666666666852e-01	1.894226834069870358e-01
4.333333333333333481e-01	1.991483796991616317e-01
4.500000000000000111e-01	2.074501527431858450e-01
4.666666666666666741e-01	2.140826209432066807e-01
4.833333333333332815e-01	2.188070319308619838e-01
5.000000000000000000e-01	2.213947884678111599e-01
5.166666666666666075e-01	2.216309333340829024e-01
5.333333333333333259e-01	2.193175474666972380e-01
5.500000000000000444e-01	2.142770162250478005e-01
5.666666666666667629e-01	2.063551198384242502e-01
5.833333333333333703e-01	1.954239058248352090e-01
5.999999999999999778e-01	1.813843034401100840e-01
6.166666666666666963e-01	1.641684429966809300e-01
6.333333333333333037e-01	1.437416461506796084e-01
6.500000000000000222e-01	1.201040569563399524e-01
6.666666666666667407e-01	9.329188758492015787e-02
6.833333333333333481e-01	6.337825705328305192e-02
6.999999999999999556e-01	3.047360605224707503e-02
7.166666666666666741e-01	-5.274324049520012596e-03
7.333333333333332815e-01	-4.368095478346881860e-02
7.500000000000000000e-01	-8.452577821229409483e-02
7.666666666666667185e-01	-1.275537047436473281e-01
7.833333333333334370e-01	-1.724768419226671290e-01
7.999999999999999334e-01	-2.189766897395231116e-01
8.166666666666666519e-01	-2.667067328651272495e-01
8.333333333333333703e-01	-3.152954053045124438e-01
8.499999999999999778e-01	-3.643493982932579645e-01
8.666666666666666963e-01	-4.134572779150004762e-01
8.833333333333334147e-01	-4.621933749410858661e-01
9.000000000000000222e-01	-5.101219058361081693e-01
9.166666666666666297e-01	-5.568012807798446984e-01
9.333333333333333481e-01	-6.017885519659000870e-01
9.499999999999999556e-01	-6.446439533833083768e-01
9.666666666666665630e-01	-6.849354817960756625e-01
9.833333333333333925e-01	-7.222434677273328330e-01
1.000000000000000000e+00	-7.561650849424893517e-01
1.016666666666666829e+00	-7.863187472156840663e-01
1.033333333333333215e+00	-8.123483420547550349e-01
1.050000000000000044e+00	-8.339272525437175787e-01
1.066666666666666652e+00	-8.507621205229259909e-01
1.083333333333333259e+00	-8.625963069435138575e-01
1.100000000000000089e+00	-8.692130083754158187e-01
1.116666666666666696e+00	-8.704379922820415505e-01
1.133333333333333526e+00	-8.661419177583912221e-01
1.149999999999999911e+00	-8.562422129164675155e-01
1.166666666666666741e+00	-8.407044849408249476e-01
1.183333333333333348e+00	-8.195434439722931730e-01
1.199999999999999956e+00	-7.928233273499674105e-01
1.216666666666666785e+00	-7.606578162882206007e-01
1.233333333333333393e+00	-7.232094427223981770e-01
1.250000000000000000e+00	-6.806884897580974814e-01
1.266666666666666607e+00	-6.333513948381289671e-01
1.283333333333333215e+00	-5.814986703320642603e-01
