Time_us	Received_Longitudinal
0.000000000000000000e+00	-5.449114831980901574e-02
1.666666666666666644e-02	4.586644290090831355e-02
3.333333333333333287e-02	5.274380058176875163e-02
4.999999999999999584e-02	7.197973151102711464e-02
6.666666666666666574e-02	3.221915520312007564e-03
8.333333333333334259e-02	2.527310041050450512e-02
9.999999999999999167e-02	8.690888271096049167e-02
1.166666666666666685e-01	-9.397459337077352509e-03
1.333333333333333315e-01	-4.099922810423625719e-02
1.499999999999999944e-01	-6.779353109511912501e-02
1.666666666666666852e-01	-1.481724550862379142e-01
1.833333333333333204e-01	-1.580451139026849972e-01
1.999999999999999833e-01	-2.005858109221407559e-01
2.166666666666666741e-01	-1.867275308716523918e-01
2.333333333333333370e-01	-2.669842112980056470e-01
2.500000000000000000e-01	-2.036057854114825261e-01
2.666666666666666630e-01	-1.153999537108579276e-01
2.833333333333333814e-01	-2.629918449832318456e-02
2.999999999999999889e-01	2.871046531664804904e-02
3.166666666666666519e-01	6.813126363744209657e-02
3.333333333333333703e-01	2.164887550510160852e-01
3.499999999999999778e-01	2.569642801981799618e-01
3.666666666666666408e-01	2.866749512044252102e-01
3.833333333333333592e-01	2.827101243650284590e-01
3.999999999999999667e-01	2.974504595275744290e-01
4.166666666666666852e-01	1.831436928216584881e-01
4.333333333333333481e-01	1.556850456633391278e-01
4.500000000000000111e-01	8.323803378287822352e-02
4.666666666666666741e-01	-3.876163702663568827e-02
4.833333333333332815e-01	-1.013467794284478030e-01
5.000000000000000000e-01	-2.519801830676580146e-01
5.166666666666666075e-01	-2.272785687572211055e-01
5.333333333333333259e-01	-1.929086032066200385e-01
5.500000000000000444e-01	-2.510389681073189605e-01
5.666666666666667629e-01	-2.734989365960444618e-01
5.833333333333333703e-01	-1.445579478520585548e-01
5.999999999999999778e-01	-8.716770830760245392e-02
6.166666666666666963e-01	-6.004182706481540205e-02
6.333333333333333037e-01	-3.196808780731438121e-02
6.500000000000000222e-01	8.740139316555776972e-02
6.666666666666667407e-01	1.113721782833101276e-01
6.833333333333333481e-01	1.310144185309473908e-01
6.999999999999999556e-01	1.111356332242613709e-01
7.166666666666666741e-01	1.780030778878208819e-01
7.333333333333332815e-01	8.018340190528083777e-02
7.500000000000000000e-01	8.951555165094064737e-02
7.666666666666667185e-01	5.459100722229527636e-03
7.833333333333334370e-01	-1.530877934870076076e-02
7.999999999999999334e-01	-7.116857217187044782e-02
8.166666666666666519e-01	5.888569600238556523e-03
8.333333333333333703e-01	-9.625780154929278187e-02
8.499999999999999778e-01	-7.187154936722030263e-02
8.666666666666666963e-01	-6.837078097595745974e-02
8.833333333333334147e-01	-1.461842953114623755e-01
9.000000000000000222e-01	-3.747739105650928215e-02
9.166666666666666297e-01	-3.039522276629764291e-02
9.333333333333333481e-01	1.043683255146249378e-02
9.499999999999999556e-01	3.223402366178929057e-02
9.666666666666665630e-01	-9.788323629540022358e-03
9.833333333333333925e-01	3.954288728848663614e-02
1.000000000000000000e+00	2.873371142035688330e-03
1.016666666666666829e+00	7.921810614163941888e-02
1.033333333333333215e+00	-2.114739457846984833e-02
1.050000000000000044e+00	3.858634854257558811e-02
1.066666666666666652e+00	6.990954546462863073e-02
1.083333333333333259e+00	4.925390946281727605e-02
1.100000000000000089e+00	-4.343704209657231474e-02
1.116666666666666696e+00	-3.558639521261961619e-02
1.133333333333333526e+00	-8.943471253945382837e-02
1.149999999999999911e+00	-5.630569267065577144e-02
