Time_us	Received_Longitudinal
0.000000000000000000e+00	-2.285232680263308419e-02
1.666666666666666644e-02	-2.248242330216909321e-02
3.333333333333333287e-02	-1.749483653199369621e-03
4.999999999999999584e-02	-5.627323012655617920e-03
6.666666666666666574e-02	3.691859118479552671e-02
8.333333333333334259e-02	-3.606066602765043566e-02
9.999999999999999167e-02	-3.301684453774174355e-02
1.166666666666666685e-01	-1.348198215888194405e-02
1.333333333333333315e-01	5.133706181330146417e-02
1.499999999999999944e-01	1.633842238825408688e-02
1.666666666666666852e-01	-6.710541337791131600e-02
1.833333333333333204e-01	4.235860072721062131e-02
1.999999999999999833e-01	2.240487116547686640e-03
2.166666666666666741e-01	4.382332320902763978e-02
2.333333333333333370e-01	-3.487195777768694466e-02
2.500000000000000000e-01	1.932621662920606942e-02
2.666666666666666630e-01	6.085989822904981639e-02
2.833333333333333814e-01	1.940422690823588592e-02
2.999999999999999889e-01	-1.095210251567802461e-02
3.166666666666666519e-01	-4.184981700645989261e-02
3.333333333333333703e-01	1.640941556369593032e-02
3.499999999999999778e-01	-1.383100557207183820e-02
3.666666666666666408e-01	-2.812454262513664621e-02
3.833333333333333592e-01	-7.985125246432868418e-02
3.999999999999999667e-01	-3.804358213230384783e-02
4.166666666666666852e-01	6.298666812969157258e-02
4.333333333333333481e-01	2.761340782574907282e-02
4.500000000000000111e-01	5.731638510451639995e-02
4.666666666666666741e-01	4.651376094685117507e-02
4.833333333333332815e-01	-2.722753925647964854e-02
5.000000000000000000e-01	1.449419333213519245e-03
5.166666666666666075e-01	3.753958902630062655e-02
5.333333333333333259e-01	-4.672189436734734691e-02
5.500000000000000444e-01	-4.939545401499650934e-02
5.666666666666667629e-01	-7.497232011367993554e-02
5.833333333333333703e-01	-3.210824494239310212e-02
5.999999999999999778e-01	5.093088225738975211e-02
6.166666666666666963e-01	4.249539889032406814e-02
6.333333333333333037e-01	-5.402257012413649861e-02
6.500000000000000222e-01	-4.969722848462716086e-02
6.666666666666667407e-01	2.594942761117595073e-02
6.833333333333333481e-01	2.692427108824610796e-02
6.999999999999999556e-01	-9.775308516915583168e-03
7.166666666666666741e-01	2.581986215955866127e-03
7.333333333333332815e-01	2.354517602624290945e-04
7.500000000000000000e-01	5.568220080354835226e-03
7.666666666666667185e-01	-8.248234073289586327e-03
7.833333333333334370e-01	-1.703097296025347235e-02
7.999999999999999334e-01	-9.291073840616018154e-03
8.166666666666666519e-01	-6.187274407453194000e-03
8.333333333333333703e-01	1.880651477575353073e-03
8.499999999999999778e-01	-4.306673877058348615e-02
8.666666666666666963e-01	-2.603525086061806229e-02
8.833333333333334147e-01	-6.856083891365298208e-03
9.000000000000000222e-01	4.796263338488467726e-02
9.166666666666666297e-01	2.986110739706691192e-02
9.333333333333333481e-01	1.230097863192803134e-02
9.499999999999999556e-01	-4.544782424328321080e-02
9.666666666666665630e-01	-1.670678902261343510e-02
9.833333333333333925e-01	1.067021445317059905e-02
1.000000000000000000e+00	-1.433845235786714023e-02
1.016666666666666829e+00	-3.479440247171159545e-02
1.033333333333333215e+00	9.279130221439729417e-03
1.050000000000000044e+00	-6.413161696690161846e-03
1.066666666666666652e+00	-5.021452332046789230e-02
