Time_us	Received_Longitudinal
0.000000000000000000e+00	2.480349090752411584e-02
1.666666666666666644e-02	6.029378492941419448e-02
3.333333333333333287e-02	-1.243862741892811600e-03
4.999999999999999584e-02	-4.541435523167015875e-02
6.666666666666666574e-02	3.761777264759524637e-03
8.333333333333334259e-02	-1.845303327527182853e-03
9.999999999999999167e-02	-1.032530212558842309e-01
1.166666666666666685e-01	-1.346290331760086403e-02
1.333333333333333315e-01	-5.316881071303266454e-02
1.499999999999999944e-01	-1.295576286452752579e-01
1.666666666666666852e-01	-1.896123010794492636e-02
1.833333333333333204e-01	-4.745398212750180644e-02
1.999999999999999833e-01	-4.719034913061054270e-02
2.166666666666666741e-01	-4.306876345188140331e-02
2.333333333333333370e-01	-1.162598109905049054e-02
2.500000000000000000e-01	7.128718567109676441e-02
2.666666666666666630e-01	3.267591339133402162e-02
2.833333333333333814e-01	1.323850095335862842e-01
2.999999999999999889e-01	1.076338906124024442e-01
3.166666666666666519e-01	1.419721369951666423e-01
3.333333333333333703e-01	1.363816426111734426e-01
3.499999999999999778e-01	8.056596954226405427e-02
3.666666666666666408e-01	8.543420042313523699e-02
3.833333333333333592e-01	-3.934382233977232191e-02
3.999999999999999667e-01	-3.673548714875191079e-02
4.166666666666666852e-01	-5.504494682586625470e-02
4.333333333333333481e-01	-8.326706197972899570e-02
4.500000000000000111e-01	-1.267353422485267556e-01
4.666666666666666741e-01	-1.300461114058429901e-01
4.833333333333332815e-01	-1.714483096195784373e-01
5.000000000000000000e-01	-1.366345658405925534e-01
5.166666666666666075e-01	-5.641273991402136895e-02
5.333333333333333259e-01	-6.108709252041081422e-02
5.500000000000000444e-01	-6.835892561229878206e-02
5.666666666666667629e-01	1.089300362328568007e-02
5.833333333333333703e-01	2.886763143283123390e-02
5.999999999999999778e-01	9.185524978757052261e-02
6.166666666666666963e-01	1.324306600619849783e-01
6.333333333333333037e-01	1.548804971622297078e-01
6.500000000000000222e-01	1.226016762671477134e-01
6.666666666666667407e-01	8.545159913358985060e-02
6.833333333333333481e-01	5.907198808078152619e-02
6.999999999999999556e-01	6.502079381254285972e-02
7.166666666666666741e-01	4.288985201553247549e-03
7.333333333333332815e-01	-3.515513836125934433e-02
7.500000000000000000e-01	-8.144693321406264175e-03
7.666666666666667185e-01	-7.031259366848836845e-02
7.833333333333334370e-01	-8.389403121102377570e-02
7.999999999999999334e-01	-1.092593537202921627e-01
8.166666666666666519e-01	-6.697883136513994862e-02
8.333333333333333703e-01	3.509601791100436241e-04
8.499999999999999778e-01	-3.726801325761225359e-02
8.666666666666666963e-01	-4.532105325381946548e-02
8.833333333333334147e-01	-1.625427792379787253e-02
9.000000000000000222e-01	-3.243401750837825170e-02
9.166666666666666297e-01	1.917967395076724396e-02
9.333333333333333481e-01	3.074787926190510751e-02
9.499999999999999556e-01	7.156733352310942764e-02
9.666666666666665630e-01	2.264139359184134601e-02
9.833333333333333925e-01	1.503031458616086412e-02
1.000000000000000000e+00	3.133208565119480205e-02
1.016666666666666829e+00	3.157122511914569815e-03
1.033333333333333215e+00	-6.765635382754313365e-03
1.050000000000000044e+00	-2.384391024971921000e-02
1.066666666666666652e+00	-2.408281152785705925e-02
1.083333333333333259e+00	-6.412293105829853894e-03
1.100000000000000089e+00	-3.230398098138446278e-02
1.116666666666666696e+00	-9.306384460002089382e-03
1.133333333333333526e+00	-1.718281405037899029e-02
1.149999999999999911e+00	-2.446584629576764591e-02
1.166666666666666741e+00	-1.486369469755619704e-02
1.183333333333333348e+00	-5.703777098165822151e-02
1.199999999999999956e+00	1.106307867125044635e-02
1.216666666666666785e+00	7.286144035537037329e-03
1.233333333333333393e+00	-5.754823439666849338e-02
1.250000000000000000e+00	-2.266301387565488462e-02
1.266666666666666607e+00	6.826098618381272465e-02
1.283333333333333215e+00	1.058269587775286999e-02
1.300000000000000044e+00	2.185798390870082736e-02
1.316666666666666652e+00	1.154969579856885836e-01
1.333333333333333481e+00	1.426743236052822536e-02
1.350000000000000089e+00	-2.370032998643730945e-02
1.366666666666666696e+00	-2.066308633678079834e-02
1.383333333333333304e+00	2.708522032504154416e-03
1.399999999999999911e+00	-5.012547558545067672e-02
1.416666666666666741e+00	4.148636464898646653e-02
1.433333333333333348e+00	1.313424740474930692e-02
1.450000000000000178e+00	5.645301518642638523e-03
1.466666666666666563e+00	2.627030476383383772e-02
1.483333333333333393e+00	6.355382712504194231e-03
1.500000000000000000e+00	-1.533701764945833053e-02
1.516666666666666607e+00	-4.074586133661450144e-02
1.533333333333333437e+00	-8.245379407291366161e-03
1.550000000000000044e+00	-9.453446271119665678e-03
1.566666666666666874e+00	-9.827211855985130626e-03
1.583333333333333259e+00	-4.550669222169977969e-03
1.599999999999999867e+00	-4.230284477764129428e-04
1.616666666666666696e+00	-1.546264751733976081e-02
1.633333333333333304e+00	1.429164763473562451e-02
1.650000000000000133e+00	-1.513968617432981216e-02
1.666666666666666741e+00	-7.129990804301634955e-03
1.683333333333333348e+00	1.757330811579668403e-02
1.699999999999999956e+00	1.666677703895445145e-02
1.716666666666666563e+00	-1.769042344416082296e-02
1.733333333333333393e+00	3.882779776066338367e-02
1.750000000000000000e+00	-6.837241997163024873e-03
1.766666666666666829e+00	2.864526309064145682e-02
1.783333333333333437e+00	-2.109481918418137231e-02
1.800000000000000044e+00	-1.834175290665614536e-02
1.816666666666666652e+00	-3.474442975544234091e-02
1.833333333333333259e+00	4.702815847063013255e-02
1.850000000000000089e+00	-2.743958868740030074e-02
1.866666666666666696e+00	-6.615062199674211219e-02
1.883333333333333526e+00	2.889155247628874545e-02
1.899999999999999911e+00	1.500000045141244333e-02
1.916666666666666741e+00	-1.916576775565989599e-02
1.933333333333333126e+00	6.803630941382321669e-04
1.949999999999999956e+00	5.400735662912870688e-03
1.966666666666666785e+00	1.926933626207427003e-02
1.983333333333333615e+00	-3.377972569393143231e-03
2.000000000000000000e+00	-3.243225864881805337e-02
2.016666666666666607e+00	2.960519842498676030e-02
2.033333333333333659e+00	-8.905758294512202550e-03
2.049999999999999822e+00	5.130406281319643477e-03
2.066666666666666430e+00	1.334700876434761346e-02
2.083333333333333481e+00	2.329336125593607122e-03
2.100000000000000089e+00	9.608258365369463927e-02
2.116666666666666696e+00	-2.494737636646317605e-02
2.133333333333333304e+00	2.765809409976033306e-02
2.150000000000000355e+00	2.718880277507587651e-02
2.166666666666666519e+00	-7.049753203004131830e-02
2.183333333333333126e+00	1.250152428748861622e-02
2.200000000000000178e+00	2.422110361000593456e-03
2.216666666666666785e+00	2.017954104216012831e-02
2.233333333333333393e+00	8.742489516012422884e-03
2.250000000000000000e+00	6.613010817046728780e-03
2.266666666666667052e+00	2.136300103427770953e-03
2.283333333333333215e+00	1.113098863900337590e-02
2.299999999999999822e+00	2.503767504441543543e-02
2.316666666666666874e+00	-9.332553099386324200e-03
2.333333333333333481e+00	-4.090166931142719120e-02
2.350000000000000089e+00	-2.739525744543342897e-02
2.366666666666666696e+00	-1.866836452668778346e-02
2.383333333333333304e+00	8.509158204798228028e-03
2.399999999999999911e+00	-2.022729443227772386e-02
2.416666666666666519e+00	-6.201092302637166258e-03
2.433333333333333570e+00	2.167182524384584155e-02
2.450000000000000178e+00	-2.206974253250072390e-02
2.466666666666666785e+00	1.289782809561902492e-02
2.483333333333333393e+00	7.754751488186369633e-03
2.500000000000000000e+00	2.039616837447468661e-02
2.516666666666666607e+00	1.356074601926733278e-02
2.533333333333333215e+00	1.375044033831022972e-02
2.550000000000000266e+00	-4.462664075738050073e-02
2.566666666666666430e+00	4.139049588697484017e-02
2.583333333333333481e+00	-8.578877462753634400e-03
2.600000000000000089e+00	-1.479424229647482904e-03
2.616666666666666696e+00	-2.930722701548559364e-02
2.633333333333333304e+00	-3.794813737053626818e-02
2.649999999999999911e+00	1.347483158316413595e-03
2.666666666666666963e+00	-3.893696661808092145e-03
2.683333333333333126e+00	4.350369236729492023e-02
2.700000000000000178e+00	4.516771432382580415e-03
2.716666666666666785e+00	-6.171594391312217737e-03
2.733333333333333393e+00	2.956563019444955615e-02
2.750000000000000000e+00	1.734677976563230375e-02
2.766666666666666607e+00	-9.754221268720742258e-03
2.783333333333333659e+00	2.378054526555648321e-02
2.799999999999999822e+00	-4.527336361874529508e-02
2.816666666666666874e+00	-3.254550749391841441e-02
2.833333333333333481e+00	3.129171014805429488e-03
2.850000000000000089e+00	-1.228090076760503073e-02
2.866666666666666696e+00	-4.815294493287428502e-04
2.883333333333333304e+00	6.041021119114628468e-03
2.900000000000000355e+00	-2.600608119285152675e-02
2.916666666666666519e+00	-5.588016649557729122e-03
2.933333333333333126e+00	-1.387744447393694271e-02
2.950000000000000178e+00	2.492857469447975344e-02
2.966666666666666785e+00	-2.621173864704609210e-02
2.983333333333333393e+00	2.239251907820045961e-02
3.000000000000000000e+00	-1.189190318111105031e-02
3.016666666666667052e+00	-2.836299521857147191e-02
3.033333333333333215e+00	-2.836244933173169211e-02
3.049999999999999822e+00	-8.010890110253821375e-03
3.066666666666666874e+00	2.013861384919468298e-02
3.083333333333333481e+00	-9.955522442147332271e-03
3.100000000000000089e+00	-4.036239987263508938e-02
3.116666666666666696e+00	4.726936563379653677e-02
3.133333333333333748e+00	3.489267289137581302e-02
3.149999999999999911e+00	-1.607800445533214342e-02
3.166666666666666519e+00	8.411592609187055689e-03
3.183333333333333570e+00	-3.468753722070322398e-02
3.199999999999999734e+00	3.798151066289637973e-02
3.216666666666666785e+00	-1.774265717770766347e-03
3.233333333333333393e+00	5.013243089552862214e-02
3.250000000000000444e+00	1.009681039540754992e-02
3.266666666666666607e+00	-6.936730429691301270e-02
3.283333333333333215e+00	-1.340096963260343187e-02
3.300000000000000266e+00	-5.269981045935662363e-03
3.316666666666666430e+00	-3.556762844411012064e-02
3.333333333333333481e+00	9.401948713662351687e-03
3.350000000000000089e+00	-5.429921973204720337e-02
3.366666666666666696e+00	-1.666143291217619254e-02
3.383333333333333304e+00	5.884423359183902844e-03
3.399999999999999911e+00	4.350237666820267607e-02
3.416666666666666963e+00	-4.203742504861238127e-02
3.433333333333333126e+00	3.965778141591474321e-02
3.450000000000000178e+00	1.003879368542158652e-02
3.466666666666666785e+00	-9.471164907344384321e-03
3.483333333333333393e+00	1.788756335906582784e-02
3.500000000000000000e+00	2.124843014485533390e-03
3.516666666666666607e+00	2.767053026653586503e-02
3.533333333333333659e+00	2.151034563855845280e-02
3.549999999999999822e+00	6.608776395315194008e-02
3.566666666666666874e+00	1.666145937445478314e-02
3.583333333333333481e+00	4.077262421005461990e-02
3.600000000000000089e+00	4.668777755686111600e-03
3.616666666666666696e+00	-1.366159588796123092e-02
3.633333333333333304e+00	3.927869595125382113e-02
3.650000000000000355e+00	2.566925160890172128e-02
3.666666666666666519e+00	8.148297840660698177e-02
3.683333333333333570e+00	2.269647273654619435e-02
3.700000000000000178e+00	9.740038655071033002e-02
3.716666666666666785e+00	6.301458539440729645e-02
3.733333333333333393e+00	2.915303677886457029e-02
3.750000000000000000e+00	4.950201487877780443e-02
3.766666666666667052e+00	1.240116765971335383e-01
3.783333333333333215e+00	7.286259393989792665e-02
3.799999999999999822e+00	6.955859141068330975e-02
3.816666666666666874e+00	1.283933131534488736e-01
