Time_us	Received_Longitudinal
0.000000000000000000e+00	3.506605454170935027e-02
1.666666666666666644e-02	2.438429554076603292e-02
3.333333333333333287e-02	-2.859456418651465381e-02
4.999999999999999584e-02	6.523996300951198646e-02
6.666666666666666574e-02	4.961537967087425310e-02
8.333333333333334259e-02	7.721662941313436890e-02
9.999999999999999167e-02	6.736282975968324593e-02
1.166666666666666685e-01	2.996448177230149473e-03
1.333333333333333315e-01	-8.615406279038663462e-02
1.499999999999999944e-01	-1.198807984856227887e-01
1.666666666666666852e-01	-1.519851870812718997e-01
1.833333333333333204e-01	-1.813568307967292625e-01
1.999999999999999833e-01	-1.137979668120656651e-01
2.166666666666666741e-01	-5.760257012552925243e-02
2.333333333333333370e-01	6.997998064513659411e-02
2.500000000000000000e-01	8.167084937043044002e-02
2.666666666666666630e-01	1.407509555771521981e-01
2.833333333333333814e-01	1.847057002362512412e-01
2.999999999999999889e-01	1.635574897147072382e-01
3.166666666666666519e-01	1.178356782731956043e-01
3.333333333333333703e-01	3.494830742786006472e-02
3.499999999999999778e-01	-7.679713886432308623e-02
3.666666666666666408e-01	-1.012217184930242486e-01
3.833333333333333592e-01	-1.316494617464057937e-01
3.999999999999999667e-01	-1.553677604869387052e-01
4.166666666666666852e-01	-1.143999059829421683e-01
4.333333333333333481e-01	-6.942831524890503980e-02
4.500000000000000111e-01	-1.758975816658049857e-03
4.666666666666666741e-01	3.282531402507698343e-02
4.833333333333332815e-01	7.798704536906066187e-02
5.000000000000000000e-01	7.748294526045843011e-02
5.166666666666666075e-01	6.658922476830629600e-02
5.333333333333333259e-01	4.387202216470930533e-02
5.500000000000000444e-01	-1.769479042947050274e-02
5.666666666666667629e-01	-2.031672084964138147e-02
5.833333333333333703e-01	-2.897173779035140326e-02
5.999999999999999778e-01	-5.656755274126724908e-02
6.166666666666666963e-01	-4.683517468273432766e-02
6.333333333333333037e-01	-6.609592012034234965e-02
6.500000000000000222e-01	-4.305045127135163907e-02
6.666666666666667407e-01	-7.583451943199179257e-02
6.833333333333333481e-01	5.935758085312582699e-02
6.999999999999999556e-01	2.146969680174528119e-02
7.166666666666666741e-01	6.033685527052315423e-02
7.333333333333332815e-01	1.977131153486452395e-02
7.500000000000000000e-01	4.122410330106745374e-02
7.666666666666667185e-01	-3.630088148337666520e-02
7.833333333333334370e-01	-1.033909605607632662e-02
7.999999999999999334e-01	-3.671586255176351177e-02
8.166666666666666519e-01	-1.761197146926142543e-02
8.333333333333333703e-01	-5.167038667497596965e-02
8.499999999999999778e-01	1.288712745028559523e-02
8.666666666666666963e-01	-3.458979796953664393e-02
8.833333333333334147e-01	-6.178594719496438049e-03
9.000000000000000222e-01	5.029065757992061403e-02
9.166666666666666297e-01	5.847407219912447406e-03
9.333333333333333481e-01	-1.208229743966839943e-02
9.499999999999999556e-01	-9.789288080933522193e-04
9.666666666666665630e-01	-5.372592856571926923e-02
9.833333333333333925e-01	-5.122978311653667537e-03
1.000000000000000000e+00	2.296145995831997463e-03
1.016666666666666829e+00	4.874114988748708133e-02
1.033333333333333215e+00	-3.787339631627231751e-02
1.050000000000000044e+00	-1.348554927712533255e-02
1.066666666666666652e+00	-8.352799665465691914e-02
1.083333333333333259e+00	8.536706600482968713e-03
1.100000000000000089e+00	-2.771025031146969256e-02
1.116666666666666696e+00	1.758285438685156833e-03
1.133333333333333526e+00	-8.201206536897822155e-03
1.149999999999999911e+00	1.277469234582941614e-02
1.166666666666666741e+00	4.824521173315850404e-03
1.183333333333333348e+00	2.347295018223219051e-02
1.199999999999999956e+00	-4.371302138974614282e-02
1.216666666666666785e+00	-1.135712911955442418e-02
1.233333333333333393e+00	2.526811991454501125e-02
1.250000000000000000e+00	1.023681218054949167e-02
1.266666666666666607e+00	-2.646574663795366392e-03
1.283333333333333215e+00	4.298823287611264893e-03
1.300000000000000044e+00	3.839436270465677870e-02
1.316666666666666652e+00	4.539038540294206524e-03
1.333333333333333481e+00	6.158352377719283205e-02
1.350000000000000089e+00	2.107016384725431124e-02
1.366666666666666696e+00	-3.327524380093345446e-02
1.383333333333333304e+00	-1.721950091110219933e-02
1.399999999999999911e+00	-1.623126299798110031e-02
1.416666666666666741e+00	1.982127092022697643e-02
1.433333333333333348e+00	4.504953498923850927e-03
1.450000000000000178e+00	-2.508641615224283666e-02
1.466666666666666563e+00	-3.731728642297939269e-02
1.483333333333333393e+00	2.050359426464036863e-02
1.500000000000000000e+00	-1.210489632659611688e-02
1.516666666666666607e+00	-1.276035664928136353e-02
1.533333333333333437e+00	4.238739272062831687e-02
1.550000000000000044e+00	3.084764984350057970e-02
1.566666666666666874e+00	-2.087808058667086838e-02
1.583333333333333259e+00	3.424834094906943627e-02
1.599999999999999867e+00	1.109353501838157390e-03
1.616666666666666696e+00	-1.745067455092535677e-02
1.633333333333333304e+00	-8.736609067545806837e-03
1.650000000000000133e+00	-2.170654087128284782e-02
1.666666666666666741e+00	-6.669054995984945167e-02
1.683333333333333348e+00	-1.203464745655465420e-02
1.699999999999999956e+00	-1.796938925409413343e-02
1.716666666666666563e+00	-1.336919699883074193e-02
1.733333333333333393e+00	-4.106350558125558547e-02
1.750000000000000000e+00	1.175549858061071366e-02
1.766666666666666829e+00	-3.417934807813305387e-02
1.783333333333333437e+00	3.161278665735275245e-02
1.800000000000000044e+00	1.535080875462936298e-02
1.816666666666666652e+00	-1.450615130293218639e-02
1.833333333333333259e+00	-2.303909829891756869e-02
1.850000000000000089e+00	-4.523653988280625093e-02
