Time_us	Excitation
0.000000000000000000e+00	0.000000000000000000e+00
1.666666666666666644e-02	7.210610960548114845e-05
3.333333333333333287e-02	5.732930947407293689e-04
4.999999999999999584e-02	1.914974997700610556e-03
6.666666666666666574e-02	4.473752144099631643e-03
8.333333333333334259e-02	8.575290390198163012e-03
9.999999999999999167e-02	1.447970549447380462e-02
1.166666666666666685e-01	2.236889169216292605e-02
1.333333333333333315e-01	3.233618192503129318e-02
1.499999999999999944e-01	4.437866515464550243e-02
1.666666666666666852e-01	5.839241534589154070e-02
1.833333333333333204e-01	7.417080885468821383e-02
1.999999999999999833e-01	9.140602407706047150e-02
2.166666666666666741e-01	1.096937314345768355e-01
2.333333333333333370e-01	1.285408952803973326e-01
2.500000000000000000e-01	1.473765243307151307e-01
2.666666666666666630e-01	1.655651259455070967e-01
2.833333333333333814e-01	1.824225440999224790e-01
2.999999999999999889e-01	1.972337931626357566e-01
3.166666666666666519e-01	2.092724413994974664e-01
3.333333333333333703e-01	2.178210509847154086e-01
3.499999999999999778e-01	2.221921464889109465e-01
3.666666666666666408e-01	2.217491622792970019e-01
3.833333333333333592e-01	2.159268116371360346e-01
3.999999999999999667e-01	2.042503269498938123e-01
4.166666666666666852e-01	1.863530409937842469e-01
4.333333333333333481e-01	1.619918136565929589e-01
4.500000000000000111e-01	1.310598556866749420e-01
4.666666666666666741e-01	9.359656009200462146e-02
4.833333333333332815e-01	4.979402125399795542e-02
5.000000000000000000e-01	2.847651333027373920e-16
5.166666666666666075e-01	-5.528282209358205412e-02
5.333333333333333259e-01	-1.154013660865801233e-01
5.500000000000000444e-01	-1.795604312741603259e-01
5.666666666666667629e-01	-2.468346048166575046e-01
5.833333333333333703e-01	-3.161835964821244627e-01
5.999999999999999778e-01	-3.864707030718926295e-01
6.166666666666666963e-01	-4.564840269668093420e-01
6.333333333333333037e-01	-5.249600014866627751e-01
6.500000000000000222e-01	-5.906087142086001718e-01
6.666666666666667407e-01	-6.521404696107366838e-01
6.833333333333333481e-01	-7.082929956814575378e-01
6.999999999999999556e-01	-7.578586764359225292e-01
7.166666666666666741e-01	-7.997111842428676898e-01
7.333333333333332815e-01	-8.328308927656428162e-01
7.500000000000000000e-01	-8.563284730770219788e-01
7.666666666666667185e-01	-8.694661116714605953e-01
7.833333333333334370e-01	-8.716758388728427231e-01
7.999999999999999334e-01	-8.625745183890670686e-01
8.166666666666666519e-01	-8.419751220592158747e-01
8.333333333333333703e-01	-8.098939964649295442e-01
8.499999999999999778e-01	-7.665539180943672370e-01
8.666666666666666963e-01	-7.123828290302791633e-01
8.833333333333334147e-01	-6.480082434259837321e-01
9.000000000000000222e-01	-5.742474139993130056e-01
9.166666666666666297e-01	-4.920934450582314934e-01
9.333333333333333481e-01	-4.026976318523121656e-01
9.499999999999999556e-01	-3.073483930930370200e-01
9.666666666666665630e-01	-2.074472422211688649e-01
9.833333333333333925e-01	-1.045284632676534153e-01
1.000000000000000000e+00	-1.133107779529595923e-15
1.016666666666666829e+00	1.045284632676538178e-01
1.033333333333333215e+00	2.079116908177585099e-01
1.050000000000000044e+00	3.090169943749463410e-01
1.066666666666666652e+00	4.067366430757997087e-01
1.083333333333333259e+00	4.999999999999992784e-01
1.100000000000000089e+00	5.877852522924729151e-01
1.116666666666666696e+00	6.691306063588577935e-01
1.133333333333333526e+00	7.431448254773942441e-01
1.149999999999999911e+00	8.090169943749472292e-01
1.166666666666666741e+00	8.660254037844379305e-01
1.183333333333333348e+00	9.135454576426008666e-01
1.199999999999999956e+00	9.510565162951531981e-01
1.216666666666666785e+00	9.781476007338056888e-01
1.233333333333333393e+00	9.945218953682732899e-01
1.250000000000000000e+00	1.000000000000000000e+00
1.266666666666666607e+00	9.945218953682734009e-01
1.283333333333333215e+00	9.781476007338057999e-01
1.300000000000000044e+00	9.510565162951536422e-01
1.316666666666666652e+00	9.135454576426015327e-01
1.333333333333333481e+00	8.660254037844391517e-01
