Time_us	Received_Longitudinal
0.000000000000000000e+00	-1.649899962145014859e-02
1.666666666666666644e-02	3.318210542960079584e-02
3.333333333333333287e-02	-1.286259777779941507e-02
4.999999999999999584e-02	-1.739141931660115672e-02
6.666666666666666574e-02	-3.227960888119202343e-02
8.333333333333334259e-02	1.348389178009082312e-02
9.999999999999999167e-02	5.437983126139871864e-02
1.166666666666666685e-01	1.258443683283280712e-01
1.333333333333333315e-01	1.059123848588149619e-01
1.499999999999999944e-01	5.140508936447400756e-02
1.666666666666666852e-01	1.200100010979846255e-01
1.833333333333333204e-01	-2.913204543223074650e-02
1.999999999999999833e-01	1.536322086631591866e-02
2.166666666666666741e-01	-1.383588137852307109e-01
2.333333333333333370e-01	-1.466833318958030152e-01
2.500000000000000000e-01	-1.499985387243877866e-01
2.666666666666666630e-01	-1.628819547172085380e-01
2.833333333333333814e-01	-1.006229841589640905e-01
2.999999999999999889e-01	-9.068602545104070822e-02
3.166666666666666519e-01	3.515030057847181449e-02
3.333333333333333703e-01	1.208697185144964187e-01
3.499999999999999778e-01	1.189654769917435073e-01
3.666666666666666408e-01	1.728502504024302389e-01
3.833333333333333592e-01	1.885666872846978037e-01
3.999999999999999667e-01	1.161473141815440729e-01
4.166666666666666852e-01	4.102098001495410595e-02
4.333333333333333481e-01	-2.304299385079440834e-02
4.500000000000000111e-01	-9.886946849415827188e-02
4.666666666666666741e-01	-5.654587455319737277e-02
4.833333333333332815e-01	-1.610974504503854265e-01
5.000000000000000000e-01	-5.708669759109737118e-02
5.166666666666666075e-01	-3.479417611523792642e-02
5.333333333333333259e-01	-1.090365590507840279e-02
5.500000000000000444e-01	-3.495887321262998448e-02
5.666666666666667629e-01	6.686958952613598905e-02
5.833333333333333703e-01	3.230046286207821638e-02
5.999999999999999778e-01	1.250429509425478036e-01
6.166666666666666963e-01	8.493341243868479662e-02
6.333333333333333037e-01	3.545388392981700665e-02
6.500000000000000222e-01	2.358601684146112432e-02
6.666666666666667407e-01	2.125064776459698046e-03
6.833333333333333481e-01	-4.974037303164943746e-02
6.999999999999999556e-01	-5.513400012110471204e-02
7.166666666666666741e-01	5.199584838573960421e-02
7.333333333333332815e-01	3.029158730740860034e-02
7.500000000000000000e-01	1.757490099660265551e-02
7.666666666666667185e-01	-3.981162914086310706e-02
7.833333333333334370e-01	5.661874262111413203e-02
7.999999999999999334e-01	-2.056455282639218021e-03
8.166666666666666519e-01	2.638094343321396168e-02
8.333333333333333703e-01	5.743206287844428680e-03
8.499999999999999778e-01	-8.773626203365735010e-02
8.666666666666666963e-01	-3.122228963525848847e-02
8.833333333333334147e-01	-9.333521082915680403e-03
9.000000000000000222e-01	2.473479949536367545e-02
9.166666666666666297e-01	-2.599436141079084980e-02
9.333333333333333481e-01	-1.217420623753076754e-02
9.499999999999999556e-01	-8.441266345484410571e-02
9.666666666666665630e-01	2.579573073426374291e-02
9.833333333333333925e-01	1.882399515008511409e-02
1.000000000000000000e+00	6.140708049466784765e-03
1.016666666666666829e+00	-1.488552869751545889e-02
1.033333333333333215e+00	-3.384116891170506347e-02
1.050000000000000044e+00	3.961884303856713814e-03
1.066666666666666652e+00	-2.608089995477122155e-02
1.083333333333333259e+00	2.976797603136845365e-04
1.100000000000000089e+00	2.004021131815302698e-02
1.116666666666666696e+00	2.911981897143679776e-02
1.133333333333333526e+00	-4.437407587656676949e-02
1.149999999999999911e+00	-2.125740787641951929e-02
1.166666666666666741e+00	-7.705433700562480670e-03
1.183333333333333348e+00	2.434636466693101964e-02
1.199999999999999956e+00	1.323253482935748612e-02
1.216666666666666785e+00	-8.892170555759192074e-02
1.233333333333333393e+00	-2.723444898846672999e-02
1.250000000000000000e+00	2.827655480040768086e-03
1.266666666666666607e+00	-4.109015285757842278e-02
1.283333333333333215e+00	5.245197087687455267e-02
1.300000000000000044e+00	-4.277247889612324078e-02
1.316666666666666652e+00	3.723152005179643925e-02
1.333333333333333481e+00	1.263487848234037293e-02
1.350000000000000089e+00	-3.160035319837069256e-02
1.366666666666666696e+00	4.316930404670567267e-02
1.383333333333333304e+00	-5.913837745438136478e-02
1.399999999999999911e+00	5.159447395115750873e-02
