Time_us	Received_Longitudinal
0.000000000000000000e+00	8.786446041915927166e-03
1.666666666666666644e-02	1.470181412746505122e-02
3.333333333333333287e-02	-3.208601453975340467e-02
4.999999999999999584e-02	-8.596028168957320359e-02
6.666666666666666574e-02	-5.364479714872791294e-02
8.333333333333334259e-02	-2.898276749231515695e-02
9.999999999999999167e-02	-7.159588242438798267e-02
1.166666666666666685e-01	4.378392420117228380e-03
1.333333333333333315e-01	1.229455959752979999e-02
1.499999999999999944e-01	7.394421634182388181e-02
1.666666666666666852e-01	2.346249584172177549e-02
1.833333333333333204e-01	1.069004899738508485e-01
1.999999999999999833e-01	7.217794514368491843e-02
2.166666666666666741e-01	7.572106893259911153e-02
2.333333333333333370e-01	-9.358843400192027456e-03
2.500000000000000000e-01	-4.628460093504434963e-02
2.666666666666666630e-01	-7.394261356895885651e-02
2.833333333333333814e-01	-8.248741534827166988e-02
2.999999999999999889e-01	-8.452223181263048002e-02
3.166666666666666519e-01	-5.776659418714899519e-02
3.333333333333333703e-01	-3.887793101254292255e-02
3.499999999999999778e-01	4.342573048181499334e-02
3.666666666666666408e-01	1.883240348018122567e-02
3.833333333333333592e-01	8.824757262851984363e-02
3.999999999999999667e-01	5.720768871994333371e-02
4.166666666666666852e-01	1.918553966692897877e-02
4.333333333333333481e-01	1.311846560466794001e-02
4.500000000000000111e-01	5.157031879849879874e-05
4.666666666666666741e-01	1.020039015684734082e-02
4.833333333333332815e-01	-8.200444685084627358e-03
5.000000000000000000e-01	-4.671404609746166586e-02
5.166666666666666075e-01	-5.405651464864474204e-03
5.333333333333333259e-01	-3.160365710325620942e-02
5.500000000000000444e-01	-9.092653066561602604e-03
5.666666666666667629e-01	4.131051205634643161e-03
5.833333333333333703e-01	1.807434141245317649e-02
5.999999999999999778e-01	1.217748346523214557e-02
6.166666666666666963e-01	-1.331896848783598042e-02
6.333333333333333037e-01	8.055010859168720144e-03
6.500000000000000222e-01	-9.781409311064654527e-03
6.666666666666667407e-01	-3.166148357198635133e-02
6.833333333333333481e-01	5.037568539713009608e-03
6.999999999999999556e-01	6.452224875631008827e-02
7.166666666666666741e-01	1.079751881076678431e-02
7.333333333333332815e-01	8.970791048986591354e-03
7.500000000000000000e-01	8.893217778913669810e-03
7.666666666666667185e-01	3.888760394884618887e-02
7.833333333333334370e-01	-1.140143744662781844e-02
7.999999999999999334e-01	1.849304703825343371e-02
8.166666666666666519e-01	-1.552296544338668469e-02
8.333333333333333703e-01	-3.239218637963248854e-02
8.499999999999999778e-01	2.530401088927485692e-02
8.666666666666666963e-01	7.416587310992281065e-03
8.833333333333334147e-01	2.269084855841174003e-02
9.000000000000000222e-01	-4.629967676499564116e-02
9.166666666666666297e-01	-1.499449232872530381e-02
9.333333333333333481e-01	-2.149103100978182537e-02
9.499999999999999556e-01	5.168256063287657298e-02
9.666666666666665630e-01	2.163358522889474028e-02
9.833333333333333925e-01	-3.866056799119779556e-03
1.000000000000000000e+00	-1.709174963771268110e-02
1.016666666666666829e+00	2.312999537052209606e-02
1.033333333333333215e+00	4.572347622508792647e-02
1.050000000000000044e+00	-7.647925190609979051e-03
1.066666666666666652e+00	2.953274310263737795e-02
1.083333333333333259e+00	2.755213999042565101e-02
1.100000000000000089e+00	-2.797930420069864518e-02
1.116666666666666696e+00	-9.801489434881036078e-02
1.133333333333333526e+00	-8.619565506464629823e-04
1.149999999999999911e+00	5.010978316061622667e-02
1.166666666666666741e+00	1.775399812868364707e-02
1.183333333333333348e+00	5.232782430953486497e-02
1.199999999999999956e+00	-8.044249532739942976e-02
1.216666666666666785e+00	-2.854671091562731300e-02
1.233333333333333393e+00	2.158419600153952539e-02
1.250000000000000000e+00	4.202749997822694678e-03
1.266666666666666607e+00	-7.026681033422450470e-03
1.283333333333333215e+00	7.589953954172246053e-02
1.300000000000000044e+00	1.335570854057375502e-02
1.316666666666666652e+00	-1.581831192158610067e-02
1.333333333333333481e+00	5.137793090951553454e-02
1.350000000000000089e+00	1.351096559392504781e-02
1.366666666666666696e+00	-9.285903804418720042e-02
1.383333333333333304e+00	-3.624335002176186545e-03
1.399999999999999911e+00	-8.254500999402281103e-03
1.416666666666666741e+00	3.471893821516671558e-02
1.433333333333333348e+00	5.720576377481217251e-02
1.450000000000000178e+00	1.767732050772195460e-02
1.466666666666666563e+00	2.706869249862051130e-02
1.483333333333333393e+00	3.560644992524449742e-02
1.500000000000000000e+00	1.106448314978252662e-02
1.516666666666666607e+00	-3.716393936077622140e-02
1.533333333333333437e+00	-5.787051369146196944e-02
1.550000000000000044e+00	-5.283971996947910144e-02
1.566666666666666874e+00	2.274587009778920518e-02
1.583333333333333259e+00	6.215377264141804664e-02
1.599999999999999867e+00	3.800731635241279965e-02
1.616666666666666696e+00	1.534132963154847748e-02
1.633333333333333304e+00	-2.281091172120788824e-03
1.650000000000000133e+00	2.178117444015243570e-02
1.666666666666666741e+00	-1.840002758117810153e-02
1.683333333333333348e+00	-5.415296742543555114e-02
1.699999999999999956e+00	4.311541785702666801e-02
1.716666666666666563e+00	1.443240795621204484e-02
1.733333333333333393e+00	6.616847752160042936e-03
1.750000000000000000e+00	-4.544353112020169810e-02
1.766666666666666829e+00	9.766939459682108526e-02
1.783333333333333437e+00	-4.174035697851755100e-02
1.800000000000000044e+00	-1.688650787772644560e-02
1.816666666666666652e+00	1.308432098265925256e-02
1.833333333333333259e+00	-3.440338963749797752e-02
1.850000000000000089e+00	4.763156362590236642e-03
1.866666666666666696e+00	1.887248467970111671e-02
1.883333333333333526e+00	3.121903735597118465e-02
1.899999999999999911e+00	-5.965020316545875147e-03
1.916666666666666741e+00	-1.058094991965353657e-02
1.933333333333333126e+00	5.568725877266578889e-02
1.949999999999999956e+00	1.130982003812633363e-02
1.966666666666666785e+00	3.663007378506086958e-02
1.983333333333333615e+00	2.928810039400996448e-02
2.000000000000000000e+00	1.833733384727598975e-02
2.016666666666666607e+00	9.410408000937816111e-03
2.033333333333333659e+00	-2.799366790686481921e-02
2.049999999999999822e+00	3.242523558736091441e-04
2.066666666666666430e+00	-4.706870878361292532e-02
2.083333333333333481e+00	-1.728157961312913951e-02
2.100000000000000089e+00	1.262175498978787731e-02
2.116666666666666696e+00	4.733503933513497769e-02
2.133333333333333304e+00	-3.437370497967226490e-02
2.150000000000000355e+00	8.835555562821071143e-03
2.166666666666666519e+00	1.064906296152240590e-02
2.183333333333333126e+00	5.131961632975893693e-04
2.200000000000000178e+00	-1.012631897905756986e-02
2.216666666666666785e+00	4.507762616084298735e-02
2.233333333333333393e+00	2.254280473489878728e-02
2.250000000000000000e+00	-4.519542988883659511e-03
2.266666666666667052e+00	8.075499883879165043e-04
2.283333333333333215e+00	-2.266436633390243871e-02
2.299999999999999822e+00	3.860934202533207460e-02
2.316666666666666874e+00	1.241481039929385674e-02
2.333333333333333481e+00	-2.374623036437785439e-02
2.350000000000000089e+00	-8.341983618880776351e-04
2.366666666666666696e+00	-3.571110440939575387e-02
2.383333333333333304e+00	6.158092107849549163e-03
2.399999999999999911e+00	-1.192978766731656211e-02
2.416666666666666519e+00	7.159536406185650417e-03
2.433333333333333570e+00	-1.257194229572687443e-02
2.450000000000000178e+00	1.033423270375767936e-02
2.466666666666666785e+00	5.511803681802273454e-05
2.483333333333333393e+00	-8.951957339198181665e-03
2.500000000000000000e+00	2.991648038290748920e-02
2.516666666666666607e+00	4.590974156456054805e-02
2.533333333333333215e+00	-1.596954914823441735e-02
2.550000000000000266e+00	7.035710516819103279e-04
2.566666666666666430e+00	-1.547566617657599938e-02
2.583333333333333481e+00	2.326281031770546445e-02
